PLAYER,TEAM,PLAYER,TEAM,Minute,Partial Possessions (portion of team possessions while player was on court),% of Time Playing Defense,% of Time Playing Offense,% of Time Both Players Were On the Court Together,Player Points Scored,Team Points Scored,Assists,Turnovers,Blocks,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3-Point Shots Made,3-Point Shots Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Shooting Fouls Drawn (fouls committed against the player while shooting)
Dean Wade,CLE,OG Anunoby,NYK,00:24,1.6,3.7,6.4,6.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Dean Wade,CLE,Mikal Bridges,NYK,00:43,3.9,5.3,11.8,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Dean Wade,CLE,Jalen Brunson,NYK,04:23,25.2,29.7,71.7,71.7,0,35,1,0,0,0,0,0,0,0,0,0,0,0
Dean Wade,CLE,Josh Hart,NYK,00:12,1.4,1.5,3.4,3.9,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Dean Wade,CLE,Karl-Anthony Towns,NYK,00:07,0.9,0.9,2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Mobley,CLE,Jose Alvarado,NYK,00:02,0.2,2.7,0.3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Evan Mobley,CLE,OG Anunoby,NYK,02:08,12.1,20.2,16.5,27.2,2,11,1,0,0,1,3,33.3,0,1,0,0,0,0
Evan Mobley,CLE,Mikal Bridges,NYK,00:37,4.6,4.5,4.7,6.7,2,2,0,0,0,1,3,33.3,0,0,0,0,0,0
Evan Mobley,CLE,Jalen Brunson,NYK,00:32,2.7,3.6,4.1,4.7,2,2,0,0,0,1,1,100,0,0,0,0,0,0
Evan Mobley,CLE,Josh Hart,NYK,01:17,8.1,9.7,9.9,12.3,4,10,0,0,0,2,2,100,0,0,0,0,0,0
Evan Mobley,CLE,Miles McBride,NYK,00:05,0.5,1.3,0.6,1.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Evan Mobley,CLE,Mitchell Robinson,NYK,01:58,7,49.9,15.2,83.5,2,11,0,1,0,1,2,50,0,1,0,0,0,0
Evan Mobley,CLE,Landry Shamet,NYK,00:15,1.8,2.4,1.9,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Mobley,CLE,Karl-Anthony Towns,NYK,06:12,33.8,46.6,47.8,61.1,12,33,0,4,0,5,8,62.5,1,3,33.3,1,2,1
Jarrett Allen,CLE,Jose Alvarado,NYK,00:04,0.3,4.2,0.5,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Allen,CLE,OG Anunoby,NYK,04:36,26.1,43.6,35.6,45.1,2,24,0,0,0,1,1,100,0,0,0,0,0,0
Jarrett Allen,CLE,Mikal Bridges,NYK,00:46,5.4,5.6,5.9,6,2,10,0,0,0,1,1,100,0,0,0,0,0,0
Jarrett Allen,CLE,Jalen Brunson,NYK,00:46,4.6,5.2,5.9,7.1,2,7,0,0,0,1,1,100,0,0,0,0,0,0
Jarrett Allen,CLE,Josh Hart,NYK,00:53,5.9,6.6,6.8,9.6,4,8,0,0,0,2,2,100,0,0,0,0,0,0
Jarrett Allen,CLE,Mitchell Robinson,NYK,01:19,8.7,33.4,10.2,75.3,3,7,0,0,0,1,1,100,0,0,0,1,2,1
Jarrett Allen,CLE,Landry Shamet,NYK,00:34,4,5.4,4.3,9.9,0,5,0,0,0,0,1,0,0,0,0,0,0,0
Jarrett Allen,CLE,Karl-Anthony Towns,NYK,05:04,25.3,38.1,39.2,45.8,6,25,0,0,0,2,4,50,0,0,0,2,2,1
Donovan Mitchell,CLE,Jose Alvarado,NYK,00:16,1.2,17.5,1.9,17.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Donovan Mitchell,CLE,OG Anunoby,NYK,00:56,7.6,8.9,6.7,10.9,8,11,0,0,0,3,4,75,1,2,50,1,2,1
Donovan Mitchell,CLE,Mikal Bridges,NYK,01:07,7.2,8.2,8,9.8,0,6,0,0,1,0,2,0,0,1,0,0,0,0
Donovan Mitchell,CLE,Jalen Brunson,NYK,00:45,4.8,5.1,5.4,6.8,3,7,0,0,0,1,3,33.3,1,3,33.3,0,0,0
Donovan Mitchell,CLE,Jordan Clarkson,NYK,00:16,2,33.1,1.9,46.1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Donovan Mitchell,CLE,Josh Hart,NYK,04:35,24.1,34.4,32.8,45.3,4,20,2,2,0,2,5,40,0,2,0,0,2,1
Donovan Mitchell,CLE,Miles McBride,NYK,00:49,3.1,13.4,5.9,19,2,4,0,1,0,1,2,50,0,0,0,0,0,0
Donovan Mitchell,CLE,Mitchell Robinson,NYK,00:09,0.9,3.8,1.1,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Donovan Mitchell,CLE,Landry Shamet,NYK,04:12,20.5,40.2,30,48.7,4,22,2,0,0,1,3,33.3,1,1,100,1,2,1
Donovan Mitchell,CLE,Karl-Anthony Towns,NYK,00:45,4.9,5.7,5.4,6.6,4,11,0,0,0,2,3,66.7,0,0,0,0,0,0
James Harden,CLE,Jose Alvarado,NYK,00:08,1,8.6,0.9,18.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
James Harden,CLE,OG Anunoby,NYK,00:36,5.7,5.7,4.1,5.7,2,7,0,0,0,1,1,100,0,0,0,0,0,0
James Harden,CLE,Mikal Bridges,NYK,08:11,46.2,59.9,55.9,63.1,4,53,1,1,0,2,4,50,0,2,0,0,0,0
James Harden,CLE,Jalen Brunson,NYK,02:00,10.7,13.5,13.6,15.1,5,8,1,1,0,2,3,66.7,0,1,0,1,2,1
James Harden,CLE,Jordan Clarkson,NYK,00:16,1.1,32.9,1.8,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Harden,CLE,Josh Hart,NYK,02:14,10.2,16.7,15.2,21.7,2,13,1,1,0,1,3,33.3,0,2,0,0,0,0
James Harden,CLE,Miles McBride,NYK,00:09,0.9,2.5,1,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Harden,CLE,Landry Shamet,NYK,00:05,0.2,0.9,0.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Harden,CLE,Karl-Anthony Towns,NYK,00:56,5.3,7,6.3,8.5,5,11,0,1,1,2,4,50,1,2,50,0,0,0
Sam Merrill,CLE,Jose Alvarado,NYK,00:33,2.7,36.6,5.8,36.6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Sam Merrill,CLE,OG Anunoby,NYK,00:18,2.1,2.8,3.2,13,0,0,0,0,0,0,1,0,0,1,0,0,0,0
